model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
surgical_model	14	0.000301	448			3.2	567	0.27	""
wells_daae_c_model	6	0.001642	19204			3.2	19894	0.64	""
wells_dae_c_model	5	0.001584	17580			3.2	18294	0.58	""
wells_dae_inter_model	7	0.001698	19533			3.2	20176	0.54	""
wells_dae_model	4	0.001536	18689			3.1	19358	0.75	""
wells_dist	2	0.001395	21102			2.9	30838	1.21	""
wells_dist100_model	2	0.001462	15951			3.0	16559	0.45	""
wells_dist100ars_model	3	0.001502	17174			3.0	17935	0.61	""
wells_interaction_c_model	4	0.001546	18771			3.1	19340	0.48	""
wells_interaction_model	4	0.001522	18782			3.1	19458	0.92	""
