model	params	stanli_prep_s	stanli_ns_grad	stanli_sample_s	stanli_grads	cmdstan_build_s	cmdstan_ns_grad	cmdstan_sample_s	note
nn_rbm1bJ100	79411	3.034	413500142			5.2	434981254		stanli_sample_timeout,cmdstan_sample_timeout
normal_mixture	3	0.004	42378	0.44	10785	2.5	88239	1.13	""
normal_mixture_k	14	0.034	180127	61.29	317297	3.3	357439	101.61	""
one_comp_mm_elim_abs	4	0.001	463692	9.35	21513	3.3	470681	11.23	""
pilots	18	0.001	622	0.32	330222	3.2	1878	1.29	""
prophet	62	0.009	34964	59.65	1664114	4.7	69789	117.68	""
radon_county	389	0.015	41018	2.02	51074	3.0	82076	4.49	""
radon_county_intercept	388	0.036	49718	3.56	65778	2.9	431614	27.37	""
radon_hierarchical_intercept_centered	391	0.058	65504	5.68	81364	3.2	569143	44.69	""
radon_hierarchical_intercept_noncentered	391	0.058	65775	7.57	107160	3.3	570300	56.03	""
radon_partially_pooled_centered	389	0.029	34644	2.08	52343	2.9	272243	13.96	""
radon_partially_pooled_noncentered	389	0.029	35128	2.79	68759	3.1	273685	20.11	""
radon_pooled	3	0.020	43593	0.51	10972	2.6	320938	3.78	""
radon_variable_intercept_centered	390	0.036	50052	3.01	54869	2.9	427262	23.02	""
radon_variable_intercept_noncentered	390	0.037	50240	4.61	82981	3.1	430721	33.78	""
radon_variable_intercept_slope_centered	777	0.042	57953	4.59	69763	3.1	437889	27.23	""
radon_variable_intercept_slope_noncentered	777	0.042	58843	8.50	127813	3.3	441463	58.56	""
radon_variable_slope_centered	390	0.036	51442	3.12	55199	2.9	420987	23.66	""
radon_variable_slope_noncentered	390	0.037	51880	6.59	117417	3.1	422894	51.94	""
rats_model	65	0.001	1054	0.14	64357	2.9	6475	0.52	""
seeds_centered_model	26	0.001	702	0.07	37654	3.7	2650	0.28	""
seeds_model	26	0.001	680	0.08	43990	3.5	2130	0.29	""
seeds_stanified_model	26	0.001	700	0.07	41819	3.4	2341	0.30	""
sesame_one_pred_a	3	0.001	808	0.03	15718	2.7	3440	0.23	""
sir						3.9		38.74	stanli_eval_fail
soil_incubation	6	0.002	27902	6.18	224671	3.3	60871	12.84	""
state_space_stochastic_level_stochastic_seasonal	389	0.003	6231	10.01	1094296	4.6	26320	39.76	""
surgical_model	14	0.001	497	0.04	21564	3.3	1684	0.23	""
wells_daae_c_model	6	0.002	19127	0.42	20352	3.2	20885	0.63	""
wells_dae_c_model	5	0.002	17860	0.35	18267	3.2	19308	0.59	""
wells_dae_inter_model	7	0.002	19464	0.32	14841	3.2	21310	0.55	""
wells_dae_model	4	0.002	18683	0.55	27676	3.1	20356	0.76	""
wells_dist	2	0.002	21133	0.66	29414	2.8	39202	1.44	""
wells_dist100_model	2	0.002	15516	0.25	14347	3.0	17195	0.47	""
wells_dist100ars_model	3	0.002	17211	0.40	21531	3.0	18997	0.62	""
wells_interaction_c_model	4	0.002	18799	0.26	12367	3.1	20272	0.49	""
wells_interaction_model	4	0.002	18909	0.69	34766	3.1	20402	0.94	""
